"Relative Time","1","Action_Transaction","test","vuser_end_Transaction","vuser_init_Transaction"
"00:02","","","","","0.002"
"00:16","","","","","0.001"
"00:22","0.446","0.446","","","0"
"00:24","0.402","0.402","","",""
"00:26","0.383","0.383","","",""
"00:28","0.379","0.379","","",""
"00:30","0.394","0.395","","","0.001"
"00:32","0.565","0.565","","",""
"00:34","0.881","0.882","","","0.002"
"00:36","0.377","0.376","0.372","",""
"00:38","0.42","0.411","0.402","",""
"00:40","0.487","0.434","0.374","",""
"00:42","0.384","0.381","0.376","",""
"00:44","0.422","0.421","0.418","",""
"00:46","0.393","0.394","0.395","",""
"00:48","0.424","0.419","0.413","",""
"00:50","0.406","0.399","0.391","",""
"00:52","0.384","0.38","0.374","",""
"00:54","0.452","0.455","0.458","",""
"00:56","0.377","0.378","0.379","",""
"00:58","0.382","0.382","0.381","",""
"01:00","0.421","0.407","0.386","0",""
