"Relative Time","CPU Usage:desktop-h25sbd1. [192.168.0.128]","Disk Usage:desktop-h25sbd1. [192.168.0.128]","Memory Usage:desktop-h25sbd1. [192.168.0.128]"
"00:02","33.558","9.011","55.139"
"00:06","41.254","2.522","55.078"
"00:12","13.971","1.824","55.184"
"00:16","19.085","0.973","55.101"
"00:22","17.831","1.158","55.279"
"00:26","19.906","3.449","55.261"
"00:32","26.112","2.89","55.301"
"00:36","29.206","29.274","55.473"
"00:42","37.496","1.684","55.499"
"00:46","51.773","5.609","55.626"
"00:52","87.507","28.12","55.87"
"00:56","38.419","2.772","55.871"
"01:02","65.617","39.76","56.2"
